method	metric	value	signal_strength	rep
BH	power	0	1	1
Leaf_BH	power	0	1	1
Focused_BH_original	power	0	1	1
Yekutieli	power	0	1	1
Structured_Holm	power	0	1	1
BH	fdp	0	1	1
Leaf_BH	fdp	0	1	1
Focused_BH_original	fdp	0	1	1
Yekutieli	fdp	0	1	1
Structured_Holm	fdp	0	1	1
BH	power	0	1	14
Leaf_BH	power	0	1	14
Focused_BH_original	power	0	1	14
Yekutieli	power	0	1	14
Structured_Holm	power	0	1	14
BH	fdp	0	1	14
Leaf_BH	fdp	0	1	14
Focused_BH_original	fdp	0	1	14
Yekutieli	fdp	0	1	14
Structured_Holm	fdp	0	1	14
BH	power	0	1	27
Leaf_BH	power	0	1	27
Focused_BH_original	power	0	1	27
Yekutieli	power	0	1	27
Structured_Holm	power	0	1	27
BH	fdp	0	1	27
Leaf_BH	fdp	0	1	27
Focused_BH_original	fdp	0	1	27
Yekutieli	fdp	0	1	27
Structured_Holm	fdp	0	1	27
BH	power	0	1	40
Leaf_BH	power	0	1	40
Focused_BH_original	power	0	1	40
Yekutieli	power	0	1	40
Structured_Holm	power	0	1	40
BH	fdp	0	1	40
Leaf_BH	fdp	0	1	40
Focused_BH_original	fdp	0	1	40
Yekutieli	fdp	0	1	40
Structured_Holm	fdp	0	1	40
BH	power	1	1	53
Leaf_BH	power	0	1	53
Focused_BH_original	power	1	1	53
Yekutieli	power	0	1	53
Structured_Holm	power	1	1	53
BH	fdp	0	1	53
Leaf_BH	fdp	0	1	53
Focused_BH_original	fdp	0	1	53
Yekutieli	fdp	0	1	53
Structured_Holm	fdp	0	1	53
BH	power	0	1	66
Leaf_BH	power	0	1	66
Focused_BH_original	power	0	1	66
Yekutieli	power	0	1	66
Structured_Holm	power	0	1	66
BH	fdp	0	1	66
Leaf_BH	fdp	0	1	66
Focused_BH_original	fdp	0	1	66
Yekutieli	fdp	0	1	66
Structured_Holm	fdp	0	1	66
BH	power	1	1	79
Leaf_BH	power	0	1	79
Focused_BH_original	power	1	1	79
Yekutieli	power	0	1	79
Structured_Holm	power	1	1	79
BH	fdp	0.5	1	79
Leaf_BH	fdp	0	1	79
Focused_BH_original	fdp	0.5	1	79
Yekutieli	fdp	0	1	79
Structured_Holm	fdp	0	1	79
BH	power	0	1	92
Leaf_BH	power	0	1	92
Focused_BH_original	power	0	1	92
Yekutieli	power	0	1	92
Structured_Holm	power	0	1	92
BH	fdp	1	1	92
Leaf_BH	fdp	1	1	92
Focused_BH_original	fdp	1	1	92
Yekutieli	fdp	0	1	92
Structured_Holm	fdp	1	1	92
BH	power	0	1	105
Leaf_BH	power	0	1	105
Focused_BH_original	power	0	1	105
Yekutieli	power	0	1	105
Structured_Holm	power	0	1	105
BH	fdp	0	1	105
Leaf_BH	fdp	0	1	105
Focused_BH_original	fdp	0	1	105
Yekutieli	fdp	0	1	105
Structured_Holm	fdp	0	1	105
BH	power	0	1	118
Leaf_BH	power	0	1	118
Focused_BH_original	power	0	1	118
Yekutieli	power	0	1	118
Structured_Holm	power	0	1	118
BH	fdp	1	1	118
Leaf_BH	fdp	1	1	118
Focused_BH_original	fdp	1	1	118
Yekutieli	fdp	0	1	118
Structured_Holm	fdp	1	1	118
BH	power	0	1	131
Leaf_BH	power	0	1	131
Focused_BH_original	power	0	1	131
Yekutieli	power	0	1	131
Structured_Holm	power	0	1	131
BH	fdp	0	1	131
Leaf_BH	fdp	0	1	131
Focused_BH_original	fdp	0	1	131
Yekutieli	fdp	0	1	131
Structured_Holm	fdp	0	1	131
BH	power	0	1	144
Leaf_BH	power	0	1	144
Focused_BH_original	power	0	1	144
Yekutieli	power	0	1	144
Structured_Holm	power	0	1	144
BH	fdp	0	1	144
Leaf_BH	fdp	0	1	144
Focused_BH_original	fdp	0	1	144
Yekutieli	fdp	0	1	144
Structured_Holm	fdp	0	1	144
BH	power	0	1	157
Leaf_BH	power	0	1	157
Focused_BH_original	power	0	1	157
Yekutieli	power	0	1	157
Structured_Holm	power	0	1	157
BH	fdp	0	1	157
Leaf_BH	fdp	0	1	157
Focused_BH_original	fdp	0	1	157
Yekutieli	fdp	0	1	157
Structured_Holm	fdp	0	1	157
BH	power	0	1	170
Leaf_BH	power	0	1	170
Focused_BH_original	power	0	1	170
Yekutieli	power	0	1	170
Structured_Holm	power	0	1	170
BH	fdp	0	1	170
Leaf_BH	fdp	0	1	170
Focused_BH_original	fdp	0	1	170
Yekutieli	fdp	0	1	170
Structured_Holm	fdp	0	1	170
BH	power	0	1	183
Leaf_BH	power	0	1	183
Focused_BH_original	power	0	1	183
Yekutieli	power	0	1	183
Structured_Holm	power	0	1	183
BH	fdp	1	1	183
Leaf_BH	fdp	1	1	183
Focused_BH_original	fdp	1	1	183
Yekutieli	fdp	0	1	183
Structured_Holm	fdp	1	1	183
BH	power	0	1	196
Leaf_BH	power	0	1	196
Focused_BH_original	power	0	1	196
Yekutieli	power	0	1	196
Structured_Holm	power	0	1	196
BH	fdp	0	1	196
Leaf_BH	fdp	0	1	196
Focused_BH_original	fdp	0	1	196
Yekutieli	fdp	0	1	196
Structured_Holm	fdp	0	1	196
BH	power	0	1	209
Leaf_BH	power	0	1	209
Focused_BH_original	power	0	1	209
Yekutieli	power	0	1	209
Structured_Holm	power	0	1	209
BH	fdp	0	1	209
