method	metric	value	signal_strength	rep
BH	power	0	1	10
Leaf_BH	power	0	1	10
Focused_BH_original	power	0	1	10
Yekutieli	power	0	1	10
Structured_Holm	power	0	1	10
BH	fdp	0	1	10
Leaf_BH	fdp	0	1	10
Focused_BH_original	fdp	0	1	10
Yekutieli	fdp	0	1	10
Structured_Holm	fdp	0	1	10
BH	power	1	1	23
Leaf_BH	power	0	1	23
Focused_BH_original	power	1	1	23
Yekutieli	power	0	1	23
Structured_Holm	power	1	1	23
BH	fdp	0	1	23
Leaf_BH	fdp	0	1	23
Focused_BH_original	fdp	0	1	23
Yekutieli	fdp	0	1	23
Structured_Holm	fdp	0	1	23
BH	power	1	1	36
Leaf_BH	power	0	1	36
Focused_BH_original	power	1	1	36
Yekutieli	power	6	1	36
Structured_Holm	power	1	1	36
BH	fdp	0	1	36
Leaf_BH	fdp	0	1	36
Focused_BH_original	fdp	0	1	36
Yekutieli	fdp	0	1	36
Structured_Holm	fdp	0	1	36
BH	power	1	1	49
Leaf_BH	power	0	1	49
Focused_BH_original	power	1	1	49
Yekutieli	power	0	1	49
Structured_Holm	power	1	1	49
BH	fdp	0	1	49
Leaf_BH	fdp	0	1	49
Focused_BH_original	fdp	0	1	49
Yekutieli	fdp	0	1	49
Structured_Holm	fdp	0	1	49
BH	power	1	1	62
Leaf_BH	power	0	1	62
Focused_BH_original	power	1	1	62
Yekutieli	power	0	1	62
Structured_Holm	power	1	1	62
BH	fdp	0	1	62
Leaf_BH	fdp	0	1	62
Focused_BH_original	fdp	0	1	62
Yekutieli	fdp	0	1	62
Structured_Holm	fdp	0	1	62
BH	power	1	1	75
Leaf_BH	power	0	1	75
Focused_BH_original	power	1	1	75
Yekutieli	power	0	1	75
Structured_Holm	power	1	1	75
BH	fdp	0	1	75
Leaf_BH	fdp	0	1	75
Focused_BH_original	fdp	0	1	75
Yekutieli	fdp	0	1	75
Structured_Holm	fdp	0	1	75
BH	power	0	1	88
Leaf_BH	power	0	1	88
Focused_BH_original	power	0	1	88
Yekutieli	power	0	1	88
Structured_Holm	power	0	1	88
BH	fdp	0	1	88
Leaf_BH	fdp	0	1	88
Focused_BH_original	fdp	0	1	88
Yekutieli	fdp	0	1	88
Structured_Holm	fdp	0	1	88
BH	power	1	1	101
Leaf_BH	power	0	1	101
Focused_BH_original	power	1	1	101
Yekutieli	power	0	1	101
Structured_Holm	power	1	1	101
BH	fdp	0	1	101
Leaf_BH	fdp	0	1	101
Focused_BH_original	fdp	0	1	101
Yekutieli	fdp	0	1	101
Structured_Holm	fdp	0	1	101
BH	power	1	1	114
Leaf_BH	power	0	1	114
Focused_BH_original	power	1	1	114
Yekutieli	power	0	1	114
Structured_Holm	power	1	1	114
BH	fdp	0	1	114
Leaf_BH	fdp	0	1	114
Focused_BH_original	fdp	0	1	114
Yekutieli	fdp	0	1	114
Structured_Holm	fdp	0	1	114
BH	power	1	1	127
Leaf_BH	power	0	1	127
Focused_BH_original	power	1	1	127
Yekutieli	power	0	1	127
Structured_Holm	power	1	1	127
BH	fdp	0	1	127
Leaf_BH	fdp	0	1	127
Focused_BH_original	fdp	0	1	127
Yekutieli	fdp	0	1	127
Structured_Holm	fdp	0	1	127
BH	power	1	1	140
Leaf_BH	power	0	1	140
Focused_BH_original	power	1	1	140
Yekutieli	power	0	1	140
Structured_Holm	power	1	1	140
BH	fdp	0	1	140
Leaf_BH	fdp	0	1	140
Focused_BH_original	fdp	0	1	140
Yekutieli	fdp	0	1	140
Structured_Holm	fdp	0	1	140
BH	power	1	1	153
Leaf_BH	power	0	1	153
Focused_BH_original	power	1	1	153
Yekutieli	power	0	1	153
Structured_Holm	power	1	1	153
BH	fdp	0	1	153
Leaf_BH	fdp	0	1	153
Focused_BH_original	fdp	0	1	153
Yekutieli	fdp	0	1	153
Structured_Holm	fdp	0	1	153
BH	power	1	1	166
Leaf_BH	power	0	1	166
Focused_BH_original	power	1	1	166
Yekutieli	power	0	1	166
Structured_Holm	power	1	1	166
BH	fdp	0	1	166
Leaf_BH	fdp	0	1	166
Focused_BH_original	fdp	0	1	166
Yekutieli	fdp	0	1	166
Structured_Holm	fdp	0	1	166
BH	power	2	1	179
Leaf_BH	power	0	1	179
Focused_BH_original	power	2	1	179
Yekutieli	power	0	1	179
Structured_Holm	power	2	1	179
BH	fdp	0.3333333333333333	1	179
Leaf_BH	fdp	0	1	179
Focused_BH_original	fdp	0.3333333333333333	1	179
Yekutieli	fdp	0	1	179
Structured_Holm	fdp	0	1	179
BH	power	1	1	192
Leaf_BH	power	0	1	192
Focused_BH_original	power	1	1	192
Yekutieli	power	0	1	192
Structured_Holm	power	1	1	192
BH	fdp	0	1	192
Leaf_BH	fdp	0	1	192
Focused_BH_original	fdp	0	1	192
Yekutieli	fdp	0	1	192
Structured_Holm	fdp	0	1	192
BH	power	1	1	205
Leaf_BH	power	0	1	205
Focused_BH_original	power	1	1	205
Yekutieli	power	0	1	205
Structured_Holm	power	1	1	205
BH	fdp	0	1	205
Leaf_BH	fdp	0	1	205
Focused_BH_original	fdp	0	1	205
Yekutieli	fdp	0	1	205
Structured_Holm	fdp	0	1	205
BH	power	2	1	218
Leaf_BH	power	0	1	218
Focused_BH_original	power	1	1	218
Yekutieli	power	0	1	218
Structured_Holm	power	1	1	218
BH	fdp	0.5	1	218
Leaf_BH	fdp	1	1	218
Focused_BH_original	fdp	0.6666666666666666	1	218
Yekutieli	fdp	0	1	218
Structured_Holm	fdp	0	1	218
BH	power	3	1	231
Leaf_BH	power	0	1	231
Focused_BH_original	power	2	1	231
Yekutieli	power	0	1	231
Structured_Holm	power	2	1	231
BH	fdp	0.25	1	231
Leaf_BH	fdp	0	1	231
Focused_BH_original	fdp	0	1	231
Yekutieli	fdp	0	1	231
Structured_Holm	fdp	0	1	231
BH	power	1	1	244
Leaf_BH	power	0	1	244
Focused_BH_original	power	1	1	244
Yekutieli	power	0	1	244
Structured_Holm	power	1	1	244
BH	fdp	0	1	244
Leaf_BH	fdp	0	1	244
Focused_BH_original	fdp	0	1	244
Yekutieli	fdp	0	1	244
Structured_Holm	fdp	0	1	244
BH	power	3	1.5	7
Leaf_BH	power	0	1.5	7
Focused_BH_original	power	3	1.5	7
Yekutieli	power	0	1.5	7
Structured_Holm	power	3	1.5	7
BH	fdp	0	1.5	7
Leaf_BH	fdp	0	1.5	7
Focused_BH_original	fdp	0	1.5	7
Yekutieli	fdp	0	1.5	7
Structured_Holm	fdp	0	1.5	7
BH	power	3	1.5	20
Leaf_BH	power	0	1.5	20
Focused_BH_original	power	3	1.5	20
Yekutieli	power	0	1.5	20
Structured_Holm	power	3	1.5	20
BH	fdp	0	1.5	20
Leaf_BH	fdp	0	1.5	20
Focused_BH_original	fdp	0	1.5	20
Yekutieli	fdp	0	1.5	20
Structured_Holm	fdp	0	1.5	20
BH	power	3	1.5	33
Leaf_BH	power	1	1.5	33
Focused_BH_original	power	3	1.5	33
Yekutieli	power	0	1.5	33
Structured_Holm	power	2	1.5	33
BH	fdp	0.5	1.5	33
Leaf_BH	fdp	0.75	1.5	33
Focused_BH_original	fdp	0.5	1.5	33
Yekutieli	fdp	0	1.5	33
Structured_Holm	fdp	0	1.5	33
BH	power	3	1.5	46
Leaf_BH	power	0	1.5	46
Focused_BH_original	power	3	1.5	46
Yekutieli	power	0	1.5	46
Structured_Holm	power	1	1.5	46
BH	fdp	0	1.5	46
Leaf_BH	fdp	0	1.5	46
Focused_BH_original	fdp	0	1.5	46
Yekutieli	fdp	0	1.5	46
Structured_Holm	fdp	0	1.5	46
BH	power	4	1.5	59
Leaf_BH	power	0	1.5	59
Focused_BH_original	power	4	1.5	59
Yekutieli	power	0	1.5	59
Structured_Holm	power	2	1.5	59
BH	fdp	0.2	1.5	59
Leaf_BH	fdp	0	1.5	59
Focused_BH_original	fdp	0.2	1.5	59
Yekutieli	fdp	0	1.5	59
Structured_Holm	fdp	0	1.5	59
BH	power	2	1.5	72
Leaf_BH	power	1	1.5	72
Focused_BH_original	power	1	1.5	72
Yekutieli	power	0	1.5	72
Structured_Holm	power	1	1.5	72
BH	fdp	0	1.5	72
Leaf_BH	fdp	0	1.5	72
Focused_BH_original	fdp	0	1.5	72
Yekutieli	fdp	0	1.5	72
Structured_Holm	fdp	0	1.5	72
BH	power	4	1.5	85
Leaf_BH	power	0	1.5	85
Focused_BH_original	power	3	1.5	85
