method	metric	value	signal_strength	rep
BH	power	1	1	11
Leaf_BH	power	0	1	11
Focused_BH_original	power	1	1	11
Yekutieli	power	0	1	11
Structured_Holm	power	1	1	11
BH	fdp	0	1	11
Leaf_BH	fdp	0	1	11
Focused_BH_original	fdp	0	1	11
Yekutieli	fdp	0	1	11
Structured_Holm	fdp	0	1	11
BH	power	1	1	24
Leaf_BH	power	0	1	24
Focused_BH_original	power	1	1	24
Yekutieli	power	0	1	24
Structured_Holm	power	1	1	24
BH	fdp	0	1	24
Leaf_BH	fdp	0	1	24
Focused_BH_original	fdp	0	1	24
Yekutieli	fdp	0	1	24
Structured_Holm	fdp	0	1	24
BH	power	1	1	37
Leaf_BH	power	0	1	37
Focused_BH_original	power	1	1	37
Yekutieli	power	0	1	37
Structured_Holm	power	1	1	37
BH	fdp	0.6666666666666666	1	37
Leaf_BH	fdp	0	1	37
Focused_BH_original	fdp	0.6666666666666666	1	37
Yekutieli	fdp	0	1	37
Structured_Holm	fdp	0.5	1	37
BH	power	1	1	50
Leaf_BH	power	0	1	50
Focused_BH_original	power	1	1	50
Yekutieli	power	0	1	50
Structured_Holm	power	1	1	50
BH	fdp	0	1	50
Leaf_BH	fdp	0	1	50
Focused_BH_original	fdp	0	1	50
Yekutieli	fdp	0	1	50
Structured_Holm	fdp	0	1	50
BH	power	1	1	63
Leaf_BH	power	0	1	63
Focused_BH_original	power	1	1	63
Yekutieli	power	0	1	63
Structured_Holm	power	1	1	63
BH	fdp	0.6666666666666666	1	63
Leaf_BH	fdp	0	1	63
Focused_BH_original	fdp	0	1	63
Yekutieli	fdp	0	1	63
Structured_Holm	fdp	0	1	63
BH	power	2	1	76
Leaf_BH	power	0	1	76
Focused_BH_original	power	1	1	76
Yekutieli	power	0	1	76
Structured_Holm	power	1	1	76
BH	fdp	0.3333333333333333	1	76
Leaf_BH	fdp	0	1	76
Focused_BH_original	fdp	0	1	76
Yekutieli	fdp	0	1	76
Structured_Holm	fdp	0	1	76
BH	power	1	1	89
Leaf_BH	power	0	1	89
Focused_BH_original	power	1	1	89
Yekutieli	power	0	1	89
Structured_Holm	power	1	1	89
BH	fdp	0	1	89
Leaf_BH	fdp	0	1	89
Focused_BH_original	fdp	0	1	89
