method	metric	value	signal_strength	rep
BH	power	0	1	7
Leaf_BH	power	0	1	7
Focused_BH_original	power	0	1	7
Yekutieli	power	0	1	7
Structured_Holm	power	0	1	7
BH	fdp	0	1	7
Leaf_BH	fdp	0	1	7
Focused_BH_original	fdp	0	1	7
Yekutieli	fdp	0	1	7
Structured_Holm	fdp	0	1	7
BH	power	0	1	20
Leaf_BH	power	0	1	20
Focused_BH_original	power	0	1	20
Yekutieli	power	0	1	20
Structured_Holm	power	0	1	20
BH	fdp	0	1	20
Leaf_BH	fdp	0	1	20
Focused_BH_original	fdp	0	1	20
Yekutieli	fdp	0	1	20
Structured_Holm	fdp	0	1	20
BH	power	0	1	33
Leaf_BH	power	0	1	33
Focused_BH_original	power	0	1	33
Yekutieli	power	0	1	33
Structured_Holm	power	0	1	33
BH	fdp	1	1	33
Leaf_BH	fdp	0	1	33
Focused_BH_original	fdp	1	1	33
Yekutieli	fdp	0	1	33
Structured_Holm	fdp	1	1	33
BH	power	1	1	46
Leaf_BH	power	1	1	46
Focused_BH_original	power	1	1	46
Yekutieli	power	0	1	46
Structured_Holm	power	1	1	46
BH	fdp	0.5	1	46
Leaf_BH	fdp	0.5	1	46
Focused_BH_original	fdp	0.5	1	46
Yekutieli	fdp	0	1	46
Structured_Holm	fdp	0	1	46
BH	power	0	1	59
Leaf_BH	power	0	1	59
Focused_BH_original	power	0	1	59
Yekutieli	power	0	1	59
Structured_Holm	power	0	1	59
BH	fdp	1	1	59
Leaf_BH	fdp	1	1	59
Focused_BH_original	fdp	1	1	59
Yekutieli	fdp	0	1	59
Structured_Holm	fdp	1	1	59
BH	power	1	1	72
Leaf_BH	power	1	1	72
Focused_BH_original	power	1	1	72
Yekutieli	power	0	1	72
Structured_Holm	power	1	1	72
BH	fdp	0	1	72
Leaf_BH	fdp	0	1	72
Focused_BH_original	fdp	0	1	72
Yekutieli	fdp	0	1	72
Structured_Holm	fdp	0	1	72
BH	power	0	1	85
Leaf_BH	power	0	1	85
Focused_BH_original	power	0	1	85
Yekutieli	power	0	1	85
Structured_Holm	power	0	1	85
BH	fdp	0	1	85
Leaf_BH	fdp	0	1	85
Focused_BH_original	fdp	0	1	85
Yekutieli	fdp	0	1	85
Structured_Holm	fdp	0	1	85
BH	power	0	1	98
Leaf_BH	power	0	1	98
Focused_BH_original	power	0	1	98
Yekutieli	power	0	1	98
