method	metric	value	signal_strength	rep
BH	power	0	1	57
Focused_BH_original	power	0	1	57
Focused_BH_permutation	power	0	1	57
Structured_Holm	power	0	1	57
BH	fdp	0	1	57
Focused_BH_original	fdp	0	1	57
Focused_BH_permutation	fdp	0	1	57
Structured_Holm	fdp	0	1	57
BH	power	0	1	167
Focused_BH_original	power	0	1	167
Focused_BH_permutation	power	0	1	167
Structured_Holm	power	0	1	167
BH	fdp	0	1	167
Focused_BH_original	fdp	0	1	167
Focused_BH_permutation	fdp	0	1	167
Structured_Holm	fdp	0	1	167
BH	power	0	1.5	27
Focused_BH_original	power	0	1.5	27
Focused_BH_permutation	power	0	1.5	27
Structured_Holm	power	0	1.5	27
BH	fdp	0	1.5	27
Focused_BH_original	fdp	0	1.5	27
Focused_BH_permutation	fdp	0	1.5	27
Structured_Holm	fdp	0	1.5	27
BH	power	0	1.5	137
Focused_BH_original	power	0	1.5	137
Focused_BH_permutation	power	0	1.5	137
Structured_Holm	power	0	1.5	137
BH	fdp	0	1.5	137
Focused_BH_original	fdp	0	1.5	137
Focused_BH_permutation	fdp	0	1.5	137
Structured_Holm	fdp	0	1.5	137
BH	power	0	1.5	247
Focused_BH_original	power	0	1.5	247
Focused_BH_permutation	power	0	1.5	247
Structured_Holm	power	0	1.5	247
BH	fdp	0	1.5	247
Focused_BH_original	fdp	0	1.5	247
Focused_BH_permutation	fdp	0	1.5	247
Structured_Holm	fdp	0	1.5	247
BH	power	0	2	107
Focused_BH_original	power	0	2	107
Focused_BH_permutation	power	0	2	107
Structured_Holm	power	0	2	107
BH	fdp	1	2	107
Focused_BH_original	fdp	1	2	107
Focused_BH_permutation	fdp	1	2	107
Structured_Holm	fdp	1	2	107
BH	power	0	2	217
Focused_BH_original	power	0	2	217
Focused_BH_permutation	power	0	2	217
Structured_Holm	power	0	2	217
BH	fdp	0	2	217
Focused_BH_original	fdp	0	2	217
Focused_BH_permutation	fdp	0	2	217
Structured_Holm	fdp	0	2	217
BH	power	0	2.5	77
Focused_BH_original	power	0	2.5	77
Focused_BH_permutation	power	0	2.5	77
Structured_Holm	power	0	2.5	77
BH	fdp	0	2.5	77
Focused_BH_original	fdp	0	2.5	77
Focused_BH_permutation	fdp	0	2.5	77
Structured_Holm	fdp	0	2.5	77
BH	power	0	2.5	187
Focused_BH_original	power	0	2.5	187
Focused_BH_permutation	power	0	2.5	187
Structured_Holm	power	0	2.5	187
BH	fdp	0	2.5	187
Focused_BH_original	fdp	0	2.5	187
Focused_BH_permutation	fdp	0	2.5	187
Structured_Holm	fdp	0	2.5	187
BH	power	19	3	47
Focused_BH_original	power	16	3	47
Focused_BH_permutation	power	17	3	47
Structured_Holm	power	5	3	47
BH	fdp	0.05	3	47
Focused_BH_original	fdp	0	3	47
Focused_BH_permutation	fdp	0	3	47
Structured_Holm	fdp	0	3	47
BH	power	7	3	157
Focused_BH_original	power	4	3	157
Focused_BH_permutation	power	4	3	157
Structured_Holm	power	3	3	157
BH	fdp	0.4166666666666667	3	157
Focused_BH_original	fdp	0.5555555555555556	3	157
Focused_BH_permutation	fdp	0.5555555555555556	3	157
Structured_Holm	fdp	0.4	3	157
BH	power	11	3.5	17
Focused_BH_original	power	2	3.5	17
Focused_BH_permutation	power	7	3.5	17
Structured_Holm	power	3	3.5	17
BH	fdp	0.26666666666666666	3.5	17
Focused_BH_original	fdp	0	3.5	17
Focused_BH_permutation	fdp	0	3.5	17
Structured_Holm	fdp	0	3.5	17
BH	power	8	3.5	127
Focused_BH_original	power	5	3.5	127
Focused_BH_permutation	power	7	3.5	127
Structured_Holm	power	4	3.5	127
BH	fdp	0.1111111111111111	3.5	127
Focused_BH_original	fdp	0	3.5	127
Focused_BH_permutation	fdp	0.125	3.5	127
Structured_Holm	fdp	0	3.5	127
BH	power	15	3.5	237
Focused_BH_original	power	8	3.5	237
Focused_BH_permutation	power	9	3.5	237
Structured_Holm	power	7	3.5	237
BH	fdp	0.3181818181818182	3.5	237
Focused_BH_original	fdp	0	3.5	237
Focused_BH_permutation	fdp	0.25	3.5	237
Structured_Holm	fdp	0	3.5	237
BH	power	14	4	97
Focused_BH_original	power	9	4	97
Focused_BH_permutation	power	12	4	97
Structured_Holm	power	5	4	97
BH	fdp	0	4	97
Focused_BH_original	fdp	0	4	97
Focused_BH_permutation	fdp	0	4	97
Structured_Holm	fdp	0	4	97
BH	power	24	4	207
Focused_BH_original	power	23	4	207
Focused_BH_permutation	power	23	4	207
Structured_Holm	power	18	4	207
BH	fdp	0.04	4	207
Focused_BH_original	fdp	0	4	207
Focused_BH_permutation	fdp	0	4	207
Structured_Holm	fdp	0	4	207
BH	power	25	4.5	67
Focused_BH_original	power	21	4.5	67
Focused_BH_permutation	power	25	4.5	67
